05 Jan 2017,1.0,2.12,1,Brian Stugart,美味的！在访问阿拉斯加之后，我们下了10磅这种三文鱼。它完全按照承诺到达，并被完美地包装在发泡胶散热器中。一切仍然冻结。我们有一个小朋友和我们的朋友在一起，烤三文鱼。天啊！很好！谢谢！,good
05 Feb 2017,1.0,0.18,2,Carl Weiss,刚刚从坦纳的第一份订单中吃完了。鲑。鱼是潮湿和美味。我们点了4磅。每个Sockeye和King三文鱼。抵达时仍然冻结,Fish delicious.Fish moist
05 Mar 2017,1.0,1.88,3,Dave Hallsten,他们对他们的订单非常满意，我很高兴订购和运输过程，尽管运送错误，丹纳的非常有帮助的纠正和更多的权利。 鲑鱼从他们的照片看起来很漂亮，他们对质量不太满意。 迫不及待地为自己订了一些鱼。,shipping error small.salmon beautiful.
05 Apr 2017,1.0,0.39,0,Erin Smith,哇！！ 最好的袜子三文鱼的所有时间。 我们会回来的！,good
05 May 2017,1.0,1.77,1,Fred Harton,这是非常好的质量。 我丈夫7年以上生活在AK，做了很多钓鱼，他爱你的产品。 我们肯定会重新排序更多的路。,quality good.product loves.road reorder
05 Jun 2017,1.0,1.75,2,Giulietta Dortch,这是非常好的质量。 我的丈夫在AK居住了七年多，做了很多钓鱼，他爱你的产品。 我们一定会重新排列更多的鱼。,fish great.price Great.work great.
05 Jan 2017,0.0,1.10,3,Helen Wasserman,鱼瘦了 不如广告 鱼缺乏我想要的丰富。 味道不愉快 质量差的鱼。,Fish thin.richness lack.Taste unpleasant.
05 Feb 2017,0.0,0.32,3,Jim Kriz,我们非常不满意质量，包装。 交货太晚了,Delivery late.
05 Mar 2017,0.0,0.77,1,Henry MacAllister,三文鱼是非常好的 但客服不满意。 我有交货问题，并被特别处理。 不高兴,Salmon excellent.customer service unsatisfying.
05 Apr 2017,0.0,0.07,2,Julia Barnett,与通常在杂货店购买的鲑鱼相比并不新鲜。 不值得的价格。 当鱼送到我家时，鱼仍然冻结。,salmon not fresh
